Continent,Region,City,Country,Meal.inex.rest,Meal2px$$3course,McMeal,Beer0.5Res,BeerImport.33Res,CappRest,CokeRest,WaterRest,Milk1l,BreadLoaf,Ricekg,Eggs12,Cheesekg,Chickenkg,Beefkg,Appleskg,Bananakg,Orangeskg,Tomatokg,Potatokg,Onionkg,Lettuce,Water1.5lmarket,Wine$$market,BeerDomes0.5market,BeerImport0.33market,Cigs20,Busfare,Monthbuspass,Taxistart,Taxi1km,Taxi1hrwait,Fuel1l,VwGolf,ToyotaCorolla,Basicbillsapartment,1minmobile,Wifiunlimited,Gymmonth,Tennis1hr,Cinema,Preschoolmonth,Internationalprimaryyear,Jeans,Dress,Trainers,Leathershoes,1bedaptmcity,1bedaptmsuburb,3bedaptmcity,3bedaptmsuburb,sqmpriceaptmcity,sqmtpriceaptmsuburb,netmonthlysalary
Europe,Southern Europe,Tirana,Albania,5.73,35.24,5.73,1.76,2.64,1.38,1.41,0.71,1.38,0.75,1.45,2.64,7.4,5.62,8.94,1.01,1.76,1.26,1.29,0.8,0.77,0.84,0.54,7.93,0.96,1.49,3.08,0.35,14.1,2.64,2.64,9.55,2.04,18941.21,19879.14,90.62,0.26,15.61,35.28,17.3,6.34,174.32,3334.42,45.84,34.8,74.62,82.61,421.83,251.61,784.35,454.9,2163.8,1012.7,456.1
Africa,Northern Africa,Algiers,Algeria,2.71,21.67,4.69,1.81,2.27,0.95,0.5,0.19,0.87,0.16,1.18,1.42,7.7,4.28,11.5,2.47,2.96,1.3,0.8,0.59,0.39,0.58,0.25,6.68,1.52,1.88,2.38,0.29,10.83,0.36,0.36,4.33,0.31,28886.91,26975.2,48.3,0.07,27.74,20.32,13.13,5.06,102.17,3206.45,37.35,43.04,77.24,82.58,234.19,127.71,437.94,254.2,1632.82,1060.69,287.71
Africa,Northern Africa,Constantine,Algeria,2.53,14.44,4.33,2.09,1.44,0.81,0.49,0.24,0.86,0.15,1.12,1.31,8.23,4.63,11.92,2.27,2.29,1.23,0.72,0.68,0.41,0.58,0.27,6.14,1.36,1.41,2.27,0.29,10.83,0.36,0.29,4.33,0.33,23831.7,27683.29,71.31,0.06,69.21,17.54,3.25,7.22,46.94,1925.79,39.48,42.52,82.65,98.4,146.84,86.66,264.8,181.75,960.49,447.75,263.19
Africa,Northern Africa,Blida,Algeria,3.25,18.05,2.89,1.08,1.44,0.39,0.41,0.17,0.79,0.14,1.06,1.29,6.55,4.29,12.33,2.53,2.23,1.43,0.79,0.62,0.35,0.63,0.24,7.22,1.08,1.44,2.24,0.18,4.69,1.26,0.36,3.61,0.29,21665.18,20258.02,39.54,0.07,36.71,18.05,12.04,3.61,82.15,956.88,25.28,32.05,53.65,61.84,196.19,125.35,300.91,226.28,1068.82,664.4,216.65
Africa,Middle Africa,Luanda,Angola,7.84,64.25,10.51,2.2,1.5,3.93,1.95,1.42,2.49,2.58,1.54,3.68,5.46,8.61,16.6,4.5,0.76,3.47,3.34,2.5,2.17,1.18,0.48,10.02,0.78,0.79,2,0.59,31.78,1.67,1.67,8,0.33,22541.71,23628.3,30.78,0.1,192.23,40.05,28.35,4.84,929.37,2705.62,95.95,150.31,267.21,208.25,220.39,80.85,6880.05,346.62,5421.61,3448.79,1428.77
South America,South America,Cordoba,Argentina,5,20,5.74,1.5,2.5,1.5,1.02,0.9,0.81,0.85,0.79,1.43,7.27,4.28,6.85,1.93,1.91,0.85,1.91,0.65,0.83,1.15,0.96,3,1.53,2.81,2.45,0.65,26.09,1.11,0.5,2.87,1.38,33509.74,24656.05,57.63,0.28,20.84,16.75,4,5,198.73,2475.65,63.33,48.33,96.5,100,214.84,177.5,367.56,332.5,1083.33,800,522.22
South America,South America,Buenos Aires,Argentina,6.4,25,5,1.79,2.4,1.75,1,0.81,0.77,1.28,0.95,1.38,6.54,4,6.42,1.35,1.19,0.73,1.41,0.64,0.73,1.06,0.74,3.73,1.24,1.95,2,0.15,10,1,0.52,4.78,0.97,26700,23229.18,48.19,0.24,21.87,23.63,8.57,5,227.64,4891.47,68.63,44.81,99.89,89.76,308.45,225.84,627.35,444.68,2518.29,2074.45,395.95
South America,South America,Rosario,Argentina,5,25,5,1,2,1.3,1,0.81,0.74,0.97,0.91,0.98,6.54,4,6.42,1.35,1.19,0.73,1.41,0.64,0.7,0.67,0.74,3,1.04,1.95,2,0.5,10,0.8,0.52,4.78,0.86,24000,22666.67,34.3,0.24,21.81,17.5,9.38,3,146.67,4891.47,36.89,23,93.14,80,144.21,104.05,257.25,168.66,1575,1033.33,366.67
South America,South America,Mar del Plata,Argentina,5,30,4,1.5,3,1.25,1.42,1.01,0.68,0.94,0.93,1.23,4.88,4,5,1.4,1.23,0.82,1,0.75,1.2,0.4,1.05,4,1.5,1.9,1.9,0.35,10,1,0.72,6,0.69,22500,24333.33,62.22,0.1,21.2,30,20,4,71.25,1140,61.25,43.33,80,71.25,172.5,137.5,350,263.75,2175,1375,365.67
Asia,Western Asia,Yerevan,Armenia,7.5,37.52,6.95,1.5,2.25,2.84,0.94,0.47,1.37,0.65,2.38,2.29,7.18,6.54,10.47,1.18,1.68,1.76,2.04,0.77,0.73,0.59,0.63,7.5,1.16,1.77,2.06,0.25,10.87,1.5,0.25,3,1.31,23760.89,28517.06,93.01,0.05,19.48,69.95,15.22,6.25,294.99,7704.28,74.35,50.01,110.77,98.55,965.5,650.54,1556.73,925.63,2353.85,1103.1,513.02
